#     step         time           dt    tau_w_bot    u_tau_bot      div_max          U_b
        10     0.098061   9.8061e-03     0.001048     0.032377   2.8866e-15     1.000000
        20     0.196122   9.8061e-03     0.001049     0.032382   2.6090e-15     1.000000
        30     0.294183   9.8061e-03     0.001049     0.032386   2.5535e-15     1.000000
        40     0.392244   9.8061e-03     0.001049     0.032389   2.4702e-15     1.000000
        50     0.490306   9.8061e-03     0.001049     0.032392   4.6768e-15     1.000000
        60     0.588367   9.8061e-03     0.001049     0.032394   2.4356e-15     1.000000
        70     0.686428   9.8061e-03     0.001050     0.032396   2.4564e-15     1.000000
        80     0.784489   9.8061e-03     0.001050     0.032398   4.6629e-15     1.000000
        90     0.882550   9.8061e-03     0.001050     0.032400   4.6213e-15     1.000000
       100     0.980611   9.8061e-03     0.001050     0.032401   2.3870e-15     1.000000
       110     1.078672   9.8061e-03     0.001050     0.032402   2.4746e-15     1.000000
       120     1.176733   9.8061e-03     0.001050     0.032403   4.6178e-15     1.000000
       130     1.274794   9.8061e-03     0.001050     0.032404   2.3592e-15     1.000000
       140     1.372855   9.8061e-03     0.001050     0.032404   4.6525e-15     1.000000
       150     1.470917   9.8061e-03     0.001050     0.032405   2.3592e-15     1.000000
       160     1.568978   9.8061e-03     0.001050     0.032405   4.5831e-15     1.000000
       170     1.667039   9.8061e-03     0.001050     0.032406   4.6005e-15     1.000000
       180     1.765100   9.8061e-03     0.001050     0.032406   2.3453e-15     1.000000
       190     1.863161   9.8061e-03     0.001050     0.032406   2.3384e-15     1.000000
       200     1.961222   9.8061e-03     0.001050     0.032407   2.4009e-15     1.000000
       210     2.059283   9.8061e-03     0.001050     0.032407   4.6109e-15     1.000000
       220     2.157344   9.8061e-03     0.001050     0.032407   2.3482e-15     1.000000
       230     2.255405   9.8061e-03     0.001050     0.032407   2.3453e-15     1.000000
       240     2.353466   9.8061e-03     0.001050     0.032407   2.3349e-15     1.000000
       250     2.451528   9.8061e-03     0.001050     0.032407   2.3488e-15     1.000000
       260     2.549589   9.8061e-03     0.001050     0.032407   2.3523e-15     1.000000
       270     2.647650   9.8061e-03     0.001050     0.032407   2.3679e-15     1.000000
       280     2.745711   9.8061e-03     0.001050     0.032407   2.3627e-15     1.000000
       290     2.843772   9.8061e-03     0.001050     0.032407   2.3453e-15     1.000000
       300     2.941833   9.8061e-03     0.001050     0.032407   2.3419e-15     1.000000
       310     3.039894   9.8061e-03     0.001050     0.032407   2.3280e-15     1.000000
       320     3.137955   9.8061e-03     0.001050     0.032407   2.3245e-15     1.000000
       330     3.236016   9.8061e-03     0.001050     0.032407   2.3367e-15     1.000000
       340     3.334077   9.8061e-03     0.001050     0.032407   2.3185e-15     1.000000
       350     3.432139   9.8061e-03     0.001050     0.032406   2.3384e-15     1.000000
       360     3.530200   9.8061e-03     0.001050     0.032406   2.3176e-15     1.000000
       370     3.628261   9.8061e-03     0.001050     0.032406   2.3610e-15     1.000000
       380     3.726322   9.8061e-03     0.001050     0.032406   2.3245e-15     1.000000
       390     3.824383   9.8061e-03     0.001050     0.032406   2.3349e-15     1.000000
       400     3.922444   9.8061e-03     0.001050     0.032406   2.3150e-15     1.000000
       410     4.020505   9.8061e-03     0.001050     0.032406   2.3315e-15     1.000000
